original_tweet_tweet_id,original_tweet_user_id,reply_tweet_id,reply_user_id
t001,u106,t005,u052
t001,u106,t115,u121
t002,u007,t011,u046
t003,u061,t006,u068
t004,u124,t013,u095
t007,u057,t008,u091
t009,u059,t010,u028
t012,u057,t015,u034
t014,u122,t016,u130
t017,u086,t025,u086
t018,u120,t019,u070
t018,u120,t020,u027
t021,u112,t163,u116
t022,u093,t031,u005
t023,u077,t033,u028
t024,u126,t038,u098
t025,u086,t043,u086
t026,u077,t034,u070
t027,u083,t166,u063
t028,u012,t040,u087
t029,u048,t032,u075
t030,u109,t037,u092
t031,u005,t035,u093
t036,u019,t039,u005
t041,u012,t042,u087
t044,u014,t050,u055
t045,u050,t063,u050
t046,u110,t048,u058
t047,u032,t049,u076
t051,u004,t054,u090
t052,u096,t056,u065
t053,u094,t068,u042
t055,u002,t060,u002
t057,u037,t059,u076
t057,u037,t157,u071
t058,u069,t062,u005
t061,u030,t065,u035
t062,u005,t067,u069
t064,u041,t158,u101
t066,u062,t077,u069
t066,u062,t103,u111
t069,u085,t070,u082
t069,u085,t078,u009
t069,u085,t081,u036
t069,u085,t083,u089
t069,u085,t093,u078
t069,u085,t094,u045
t069,u085,t126,u088
t069,u085,t141,u017
t071,u022,t091,u113
t071,u022,t109,u113
t072,u067,t087,u067
t073,u054,t097,u023
t074,u031,t085,u079
t075,u128,t084,u026
t076,u021,t092,u104
t079,u099,t082,u127
t080,u024,t086,u117
t087,u067,t095,u067
t088,u081,t139,u038
t089,u115,t090,u043
t096,u067,t099,u016
t098,u024,t101,u118
t100,u107,t162,u084
t102,u053,t108,u003
t104,u021,t107,u033
t105,u007,t113,u060
t106,u102,t112,u080
t106,u102,t132,u119
t106,u102,t137,u131
t106,u102,t149,u073
t110,u062,t114,u069
t110,u062,t118,u108
t111,u020,t160,u074
t116,u102,t131,u072
t116,u102,t148,u073
t117,u047,t122,u103
t117,u047,t125,u008
t117,u047,t127,u025
t117,u047,t134,u013
t119,u085,t123,u049
t119,u085,t124,u125
t119,u085,t128,u110
t120,u039,t130,u018
t121,u100,t165,u100
t129,u011,t135,u005
t133,u001,t136,u029
t138,u015,t159,u056
t140,u066,t145,u040
t142,u010,t150,u097
t143,u086,t147,u044
t144,u064,t161,u064
t146,u109,t164,u006
t151,u051,t152,u114
t153,u012,t154,u105
t155,u129,t156,u123
